"cityId","cityName","zoneId","zoneName","areaDownloadUrl"
"1","Dhaka","60","New Elephant Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=60"
"1","Dhaka","61","Jigatola","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=61"
"1","Dhaka","62","Dhanmondi","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=62"
"1","Dhaka","63","Kalabagan","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=63"
"1","Dhaka","64","Kallyanpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=64"
"1","Dhaka","66","Keraniganj Sadar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=66"
"1","Dhaka","171","Mirpur 1","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=171"
"1","Dhaka","173","Senpara","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=173"
"1","Dhaka","174","Shewrapara","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=174"
"1","Dhaka","176","Bawnia","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=176"
"1","Dhaka","177","Kuril","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=177"
"1","Dhaka","178","Khilkhet","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=178"
"1","Dhaka","179","Notun Bazar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=179"
"1","Dhaka","180","Shahjadpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=180"
"1","Dhaka","181","Banani DOHS","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=181"
"1","Dhaka","182","Nadda","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=182"
"1","Dhaka","198","Shyamoli","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=198"
"1","Dhaka","199","Shahbag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=199"
"1","Dhaka","200","Dhaka University","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=200"
"1","Dhaka","201","New Market","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=201"
"1","Dhaka","205","Nazim Uddin Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=205"
"1","Dhaka","210","Nilkhet","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=210"
"1","Dhaka","213","Hatirpool","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=213"
"1","Dhaka","233","Monipur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=233"
"1","Dhaka","236","Vootergoli","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=236"
"1","Dhaka","239","Kotwali (Dhaka)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=239"
"1","Dhaka","243","Islampur (Dhamrai)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=243"
